Source path,Entity/Table name,Entity class,Repository class,Connection type,Database type
src/main/java/org/springframework/samples/petclinic/owner/Owner.java,owners,org.springframework.samples.petclinic.owner.Owner,,JPA,
src/main/java/org/springframework/samples/petclinic/owner/OwnerRepository.java,Owner,org.springframework.samples.petclinic.owner.Owner,org.springframework.samples.petclinic.owner.OwnerRepository,Spring Data JPA,
src/main/java/org/springframework/samples/petclinic/owner/Pet.java,pets,org.springframework.samples.petclinic.owner.Pet,,JPA,
src/main/java/org/springframework/samples/petclinic/owner/PetType.java,types,org.springframework.samples.petclinic.owner.PetType,,JPA,
src/main/java/org/springframework/samples/petclinic/owner/PetTypeRepository.java,PetType,org.springframework.samples.petclinic.owner.PetType,org.springframework.samples.petclinic.owner.PetTypeRepository,Spring Data JPA,
src/main/java/org/springframework/samples/petclinic/owner/Visit.java,visits,org.springframework.samples.petclinic.owner.Visit,,JPA,
src/main/java/org/springframework/samples/petclinic/vet/Specialty.java,specialties,org.springframework.samples.petclinic.vet.Specialty,,JPA,
src/main/java/org/springframework/samples/petclinic/vet/Vet.java,vets,org.springframework.samples.petclinic.vet.Vet,,JPA,
src/main/java/org/springframework/samples/petclinic/vet/VetRepository.java,Vet,org.springframework.samples.petclinic.vet.Vet,org.springframework.samples.petclinic.vet.VetRepository,Spring Data JPA,
